"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
98,"PRIVATE",2016,79,8,3,3,3
99,"PRIVATE",2016,79,8,3,3,3
93,"PRIVATE",1955,32,3,3,2,3
89,"PRIVATE",1955,32,3,3,1,3
90,"PRIVATE",1958,52,4,3,1,3
94,"SOCIAL HOUSING",1992,59,5,3,3,3
82,"TCHC",1965,221,7,1,2,2
86,"TCHC",1965,194,11,1,1,1
83,"TCHC",1965,58,7,2,2,3
81,"PRIVATE",1927,20,3,2,2,3
89,"PRIVATE",1927,20,3,3,2,3
86,"PRIVATE",1961,31,4,2,2,3
94,"PRIVATE",1961,31,4,3,3,3
81,"PRIVATE",1967,25,4,3,2,3
92,"PRIVATE",1967,25,4,3,3,3
95,"PRIVATE",1955,18,3,3,3,3
96,"PRIVATE",1954,18,3,3,3,3
93,"PRIVATE",1971,71,6,3,2,3
93,"PRIVATE",1971,71,6,3,2,3
89,"TCHC",1969,192,11,2,2,3
97,"TCHC",1969,192,11,2,3,3
93,"PRIVATE",1957,49,4,3,2,3
92,"PRIVATE",1958,79,6,3,3,3
94,"PRIVATE",1958,79,6,3,2,3
84,"PRIVATE",1958,79,6,2,1,3
86,"PRIVATE",1958,79,6,2,1,3
94,"PRIVATE",1957,49,4,3,2,3
96,"PRIVATE",1957,49,4,3,2,3
85,"PRIVATE",1965,186,14,2,2,3
86,"PRIVATE",1960,57,5,2,2,3
92,"PRIVATE",1960,57,5,3,3,2
95,"PRIVATE",1969,34,5,3,2,3
86,"PRIVATE",1969,33,5,3,3,3
94,"PRIVATE",1969,33,5,3,2,3
85,"PRIVATE",1961,62,6,3,2,3
91,"PRIVATE",1961,62,6,3,1,3
75,"PRIVATE",1961,59,6,1,1,3
83,"PRIVATE",1961,59,6,2,1,3
90,"PRIVATE",1954,50,6,3,1,3
93,"PRIVATE",1954,50,6,3,2,3
92,"PRIVATE",1967,54,7,3,2,2
84,"PRIVATE",1957,34,5,3,2,2
91,"PRIVATE",1961,82,6,3,2,3
97,"PRIVATE",1965,32,4,3,2,3
89,"PRIVATE",1960,29,4,3,1,3
89,"PRIVATE",1960,29,4,3,1,3
77,"PRIVATE",1961,77,7,1,1,3
89,"PRIVATE",1961,77,7,2,1,3
91,"PRIVATE",1960,136,18,3,2,2
80,"PRIVATE",1956,13,3,2,2,3
98,"PRIVATE",1956,13,3,3,3,3
90,"PRIVATE",1950,31,4,2,2,3
95,"PRIVATE",1950,31,4,3,3,3
81,"PRIVATE",1955,17,3,2,2,3
89,"PRIVATE",1980,94,8,3,2,3
89,"TCHC",1962,31,3,3,3,3
93,"SOCIAL HOUSING",1994,119,12,3,3,3
94,"SOCIAL HOUSING",1994,119,12,3,3,3
91,"PRIVATE",1974,420,27,3,3,3
95,"PRIVATE",1974,420,27,3,3,3
87,"PRIVATE",1963,74,7,2,2,3
72,"PRIVATE",1970,16,4,2,1,3
95,"PRIVATE",1970,16,4,2,2,3
78,"PRIVATE",1970,16,4,2,1,3
72,"PRIVATE",1970,16,3,1,1,3
78,"PRIVATE",1970,16,3,2,1,3
74,"PRIVATE",1970,16,3,2,1,3
91,"PRIVATE",1970,16,3,2,2,3
78,"PRIVATE",1970,16,3,1,1,3
78,"SOCIAL HOUSING",1959,94,4,2,2,3
86,"PRIVATE",1954,60,4,3,3,3
82,"PRIVATE",1950,62,4,2,2,3
94,"PRIVATE",1960,44,4,3,2,3
30,"PRIVATE",1934,15,3,0,2,0
92,"PRIVATE",1934,15,3,3,2,3
28,"TCHC",1954,36,3,0,3,0
96,"TCHC",1954,36,3,2,3,3
88,"PRIVATE",1920,15,3,3,1,3
95,"PRIVATE",1958,38,4,3,3,3
88,"PRIVATE",1958,115,9,3,2,3
87,"PRIVATE",1950,75,7,2,2,3
96,"PRIVATE",1950,75,7,3,2,3
70,"TCHC",1992,108,5,3,2,3
93,"TCHC",1992,108,5,3,2,3
83,"TCHC",1954,90,3,2,2,3
80,"SOCIAL HOUSING",1985,138,7,1,2,3
89,"PRIVATE",1950,15,4,3,3,3
82,"PRIVATE",1940,15,4,2,2,3
97,"TCHC",2014,128,8,3,3,3
99,"TCHC",2014,128,8,3,3,3
94,"PRIVATE",2019,506,35,2,3,3
81,"SOCIAL HOUSING",1987,39,3,2,2,3
89,"SOCIAL HOUSING",1987,39,3,3,2,3
89,"PRIVATE",1972,189,14,3,3,3
90,"SOCIAL HOUSING",1920,10,3,3,3,3
90,"PRIVATE",1890,16,4,3,2,3
95,"SOCIAL HOUSING",1976,136,11,3,3,3
81,"PRIVATE",1916,18,3,2,2,3
98,"PRIVATE",1967,77,7,3,3,3
93,"TCHC",1992,59,6,3,2,3
85,"PRIVATE",1917,48,3,3,2,3
87,"PRIVATE",1917,48,3,2,2,3
77,"PRIVATE",1960,44,4,2,2,3
89,"PRIVATE",1960,44,4,3,2,3
82,"PRIVATE",1952,15,3,3,1,3
70,"PRIVATE",1900,15,3,2,2,3
87,"PRIVATE",1900,15,3,3,2,3
76,"PRIVATE",1910,18,3,1,3,2
98,"PRIVATE",1954,16,4,3,3,3
98,"PRIVATE",1954,16,4,3,3,3
99,"PRIVATE",1954,16,4,3,3,3
61,"PRIVATE",1950,16,3,2,1,3
92,"PRIVATE",1953,16,4,3,2,3
94,"PRIVATE",1958,19,4,3,2,3
86,"PRIVATE",1963,74,7,3,2,3
91,"TCHC",1973,162,12,2,1,3
78,"PRIVATE",1970,266,20,1,1,3
83,"PRIVATE",1970,271,22,2,2,3
68,"PRIVATE",1964,80,7,2,1,1
83,"PRIVATE",1964,80,7,3,1,3
82,"SOCIAL HOUSING",1977,194,11,3,3,3
93,"PRIVATE",1962,68,7,3,2,3
92,"PRIVATE",1958,18,3,3,3,3
77,"PRIVATE",1972,13,3,1,2,3
89,"PRIVATE",1950,16,3,3,2,3
98,"PRIVATE",1950,16,3,3,2,3
89,"PRIVATE",1960,18,3,3,2,3
94,"PRIVATE",1960,18,3,3,3,3
85,"PRIVATE",1955,52,6,3,1,3
98,"SOCIAL HOUSING",1992,80,5,3,3,3
100,"SOCIAL HOUSING",1992,80,5,3,3,3
88,"TCHC",1984,237,14,2,2,3
94,"TCHC",1984,237,14,3,2,3
83,"PRIVATE",1969,267,28,3,3,2
89,"PRIVATE",1967,411,24,3,2,3
95,"PRIVATE",1967,411,24,3,3,3
92,"PRIVATE",1960,34,3,3,3,3
93,"PRIVATE",1960,34,3,3,2,3
94,"PRIVATE",1960,34,3,3,2,3
95,"PRIVATE",1962,121,7,3,1,3
90,"PRIVATE",1959,94,9,3,2,3
95,"PRIVATE",1959,94,9,3,2,3
87,"PRIVATE",1959,61,7,2,1,3
93,"PRIVATE",1959,61,7,3,1,3
90,"PRIVATE",1967,76,11,3,2,1
95,"PRIVATE",1967,76,11,2,3,3
87,"PRIVATE",1956,66,9,2,1,3
98,"PRIVATE",1956,66,9,3,3,3
91,"PRIVATE",1977,72,6,3,2,3
96,"PRIVATE",1977,72,6,3,1,3
89,"PRIVATE",1960,80,10,3,2,3
95,"PRIVATE",1960,80,10,3,2,3
86,"PRIVATE",1968,118,7,2,2,3
87,"PRIVATE",1960,91,7,3,2,3
86,"PRIVATE",1960,91,7,3,1,3
74,"PRIVATE",1960,90,7,2,1,3
87,"PRIVATE",1960,90,7,3,2,3
88,"PRIVATE",1955,67,7,3,2,3
91,"PRIVATE",1955,67,7,3,2,3
90,"PRIVATE",1955,108,7,3,2,3
90,"PRIVATE",1955,23,4,3,2,3
93,"PRIVATE",1955,23,4,3,3,3
92,"PRIVATE",1960,80,9,3,3,3
95,"PRIVATE",1960,80,9,3,2,3
88,"PRIVATE",1956,28,4,3,2,3
