"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
86,"TCHC",1970,128,13,3,1,3
87,"TCHC",1970,128,13,2,2,3
75,"TCHC",1970,128,13,2,1,3
91,"TCHC",1970,128,13,3,2,3
98,"PRIVATE",1950,24,3,3,3,3
98,"PRIVATE",1950,24,3,3,3,3
75,"PRIVATE",1954,23,3,2,2,3
94,"PRIVATE",1954,23,3,3,2,3
80,"PRIVATE",1970,12,3,2,2,3
93,"PRIVATE",1970,12,3,3,3,3
95,"PRIVATE",1970,136,10,3,3,3
96,"PRIVATE",1970,136,10,3,2,3
89,"PRIVATE",1962,100,6,3,2,3
98,"PRIVATE",1962,100,6,3,1,3
92,"TCHC",1977,400,13,2,2,3
96,"TCHC",1977,400,13,3,3,3
98,"PRIVATE",2020,361,36,3,3,3
89,"SOCIAL HOUSING",1993,44,4,3,2,3
92,"SOCIAL HOUSING",1993,44,4,3,2,3
83,"PRIVATE",1950,29,3,2,2,3
87,"PRIVATE",1950,29,3,3,2,3
79,"PRIVATE",1960,45,3,3,2,3
85,"PRIVATE",1955,43,4,3,2,3
88,"PRIVATE",1970,17,3,3,3,3
91,"PRIVATE",1970,17,3,3,1,3
69,"PRIVATE",1953,28,3,1,2,1
77,"PRIVATE",1953,28,3,1,2,3
72,"PRIVATE",1956,28,3,1,2,1
88,"PRIVATE",1956,28,3,2,1,2
99,"PRIVATE",1969,284,17,3,3,3
99,"PRIVATE",1966,217,28,3,3,3
91,"PRIVATE",1968,109,9,3,2,3
97,"PRIVATE",1968,109,9,3,3,3
97,"SOCIAL HOUSING",1900,50,12,3,3,3
100,"SOCIAL HOUSING",1900,50,12,3,3,3
74,"PRIVATE",1958,53,4,3,2,3
89,"PRIVATE",1960,74,3,2,2,2
97,"PRIVATE",1966,42,6,3,3,3
99,"PRIVATE",1966,42,6,3,2,3
83,"PRIVATE",1960,57,6,2,1,3
87,"PRIVATE",1960,57,6,3,2,3
86,"PRIVATE",1960,42,6,3,2,3
93,"PRIVATE",1960,42,6,3,2,3
93,"PRIVATE",1961,51,7,3,2,3
97,"PRIVATE",1961,51,7,3,3,3
93,"PRIVATE",1961,52,7,3,2,3
91,"PRIVATE",1963,53,6,3,2,3
81,"PRIVATE",1961,47,6,3,3,3
92,"PRIVATE",1961,47,6,3,2,3
91,"PRIVATE",1967,42,6,3,1,3
92,"PRIVATE",1960,60,7,3,2,3
81,"PRIVATE",1965,43,6,3,2,3
88,"PRIVATE",1960,19,3,2,3,3
90,"SOCIAL HOUSING",1980,32,4,3,3,3
84,"SOCIAL HOUSING",1980,135,8,1,2,3
96,"SOCIAL HOUSING",1980,135,8,3,2,3
87,"TCHC",1962,200,6,2,2,3
87,"PRIVATE",1970,113,9,2,2,3
93,"PRIVATE",1970,113,9,3,3,3
87,"PRIVATE",1970,139,11,2,2,3
94,"PRIVATE",1970,139,11,3,2,3
96,"PRIVATE",1913,10,3,3,1,3
94,"TCHC",1989,15,3,3,2,3
94,"TCHC",1989,15,3,3,3,3
91,"PRIVATE",2008,184,9,3,1,3
79,"PRIVATE",1968,335,19,1,1,2
92,"PRIVATE",1968,335,19,3,3,3
83,"PRIVATE",1956,11,3,3,1,3
86,"PRIVATE",1956,11,3,3,2,3
91,"PRIVATE",1956,11,3,3,2,3
99,"PRIVATE",2010,332,22,3,3,3
85,"PRIVATE",1958,11,3,3,2,3
76,"PRIVATE",1956,12,3,3,3,3
82,"PRIVATE",1956,12,3,3,3,3
89,"PRIVATE",1959,26,3,3,3,3
93,"PRIVATE",1958,26,3,3,3,3
97,"PRIVATE",1958,26,3,3,3,3
79,"PRIVATE",1960,29,3,2,2,2
86,"PRIVATE",1960,29,3,3,1,3
81,"PRIVATE",1960,29,3,3,2,3
95,"PRIVATE",1958,15,4,3,2,3
99,"PRIVATE",1958,15,4,3,3,3
81,"PRIVATE",1905,18,3,2,1,3
91,"PRIVATE",1905,18,3,3,3,3
81,"PRIVATE",1974,201,14,3,2,3
80,"PRIVATE",1974,201,14,2,2,3
89,"PRIVATE",1967,198,14,3,2,3
92,"PRIVATE",1967,198,14,3,3,3
61,"PRIVATE",1946,30,3,1,1,3
98,"PRIVATE",1959,35,3,3,3,3
95,"PRIVATE",1959,35,3,3,3,3
93,"PRIVATE",1959,37,3,3,2,3
95,"PRIVATE",1959,37,3,2,2,3
93,"PRIVATE",1975,81,17,2,2,3
93,"PRIVATE",1950,35,4,3,2,3
98,"PRIVATE",1950,35,4,3,3,3
94,"PRIVATE",1950,35,4,3,2,3
98,"PRIVATE",1950,35,4,3,3,3
99,"PRIVATE",1965,11,3,3,3,3
99,"PRIVATE",1965,11,3,3,3,3
85,"PRIVATE",1957,18,3,3,2,3
90,"PRIVATE",1956,29,3,3,2,3
77,"TCHC",1979,196,6,1,2,3
87,"TCHC",1979,196,6,2,2,3
79,"TCHC",1980,15,5,2,2,1
84,"TCHC",1980,15,5,2,2,3
87,"TCHC",1978,105,4,3,1,3
61,"PRIVATE",1925,31,3,1,1,3
89,"PRIVATE",1926,21,3,3,3,3
92,"PRIVATE",1969,201,26,3,3,3
93,"PRIVATE",1969,201,26,3,2,3
88,"PRIVATE",1969,331,20,2,3,3
92,"PRIVATE",2021,264,25,3,3,3
88,"PRIVATE",1969,321,23,2,2,3
92,"PRIVATE",1969,321,23,3,2,3
92,"PRIVATE",1969,217,15,3,3,3
98,"PRIVATE",1969,217,15,3,3,3
83,"TCHC",1969,449,24,2,2,3
88,"TCHC",1969,449,24,2,2,3
97,"PRIVATE",1940,10,3,3,3,3
84,"PRIVATE",1954,30,4,3,3,3
96,"PRIVATE",1954,30,4,3,2,3
96,"PRIVATE",1955,30,4,3,2,3
98,"PRIVATE",1955,30,4,3,3,3
91,"PRIVATE",1962,38,4,2,2,3
94,"PRIVATE",1962,38,4,3,1,3
82,"PRIVATE",1960,33,4,3,2,3
83,"PRIVATE",1968,36,5,3,2,3
86,"PRIVATE",1964,30,4,3,3,3
76,"PRIVATE",1957,27,4,3,2,3
92,"PRIVATE",1957,27,4,3,3,3
93,"PRIVATE",1954,34,4,3,1,3
95,"PRIVATE",1954,34,4,1,2,3
89,"PRIVATE",1965,196,24,3,1,3
91,"PRIVATE",1965,196,24,3,2,3
88,"PRIVATE",1965,196,24,3,3,3
100,"PRIVATE",2022,146,7,3,3,3
100,"PRIVATE",2022,146,7,3,3,3
97,"PRIVATE",1954,71,4,3,2,3
95,"PRIVATE",1953,44,4,3,2,3
95,"PRIVATE",1968,287,23,3,3,3
97,"PRIVATE",1968,287,23,3,3,3
94,"PRIVATE",1975,66,14,3,3,3
95,"PRIVATE",1963,162,14,2,3,3
97,"PRIVATE",1963,162,14,3,3,3
87,"PRIVATE",1967,145,15,3,2,3
91,"PRIVATE",1967,145,15,3,3,3
87,"TCHC",1969,14,4,2,3,2
88,"SOCIAL HOUSING",1993,127,16,3,2,3
91,"SOCIAL HOUSING",1993,127,16,3,3,3
77,"PRIVATE",1940,67,4,2,1,3
79,"PRIVATE",1959,67,7,3,2,2
97,"PRIVATE",1959,67,7,3,2,3
69,"PRIVATE",1956,12,3,3,1,3
83,"PRIVATE",1956,12,3,3,1,3
87,"PRIVATE",1957,10,3,3,2,3
76,"PRIVATE",1952,10,3,3,1,3
78,"SOCIAL HOUSING",1956,11,3,1,1,3
100,"SOCIAL HOUSING",1956,11,3,3,3,3
75,"PRIVATE",1957,12,3,1,2,3
91,"PRIVATE",1957,12,3,3,3,3
75,"PRIVATE",1956,11,3,1,2,3
81,"PRIVATE",1956,11,3,2,1,3
82,"PRIVATE",1957,10,3,3,2,3
87,"PRIVATE",1969,381,24,2,1,3
96,"PRIVATE",1969,381,24,3,2,3
94,"PRIVATE",1964,239,15,3,2,3
94,"PRIVATE",1964,239,15,2,2,3
92,"PRIVATE",1920,24,3,3,1,3
78,"PRIVATE",1920,25,3,2,2,2
96,"PRIVATE",1920,25,3,3,2,3
83,"PRIVATE",1930,17,3,2,2,3
94,"TCHC",1928,27,3,3,2,3
82,"PRIVATE",1928,12,3,2,2,3
89,"PRIVATE",1928,12,3,3,3,3
83,"TCHC",1969,246,14,2,2,3
90,"TCHC",1968,215,14,3,3,1
91,"PRIVATE",1955,24,4,3,2,3
94,"PRIVATE",1960,84,10,3,2,3
95,"PRIVATE",1960,84,10,3,2,3
93,"PRIVATE",1965,82,12,3,2,3
96,"PRIVATE",1965,82,12,3,2,3
85,"PRIVATE",1963,101,14,3,2,3
90,"PRIVATE",1963,101,14,3,2,3
95,"PRIVATE",2016,411,27,3,3,3
75,"PRIVATE",1928,48,3,2,2,2
96,"PRIVATE",1928,48,3,3,3,3
81,"PRIVATE",1959,76,13,3,1,3
79,"PRIVATE",1917,28,4,3,2,3
87,"PRIVATE",1917,28,4,2,3,3
87,"PRIVATE",1960,221,11,3,2,3
92,"PRIVATE",1960,221,11,3,2,3
89,"PRIVATE",1959,262,11,3,2,3
89,"PRIVATE",1960,79,9,3,2,3
95,"PRIVATE",1960,56,7,3,2,3
96,"PRIVATE",1960,56,7,3,2,3
91,"PRIVATE",1951,38,4,3,1,3
96,"PRIVATE",1951,38,4,3,2,3
93,"PRIVATE",1951,47,4,3,2,3
79,"PRIVATE",1957,202,13,1,2,3
97,"PRIVATE",1957,202,13,3,2,3
88,"PRIVATE",1971,77,8,3,3,3
91,"PRIVATE",1971,77,8,3,3,3
98,"PRIVATE",1971,77,8,3,3,3
84,"TCHC",1973,162,12,2,1,3
91,"SOCIAL HOUSING",1989,119,4,3,2,3
96,"SOCIAL HOUSING",1989,119,4,3,3,3
90,"TCHC",1984,179,13,2,2,3
95,"TCHC",1984,179,13,3,2,3
90,"SOCIAL HOUSING",1986,104,11,3,3,3
90,"SOCIAL HOUSING",1986,104,11,3,2,3
87,"SOCIAL HOUSING",1984,176,19,1,3,2
96,"PRIVATE",1960,116,20,3,2,3
96,"PRIVATE",1960,116,20,3,2,3
93,"PRIVATE",1915,26,3,3,2,3
99,"PRIVATE",1973,561,29,3,2,3
98,"PRIVATE",1973,561,29,3,2,3
58,"PRIVATE",1914,18,3,1,1,3
87,"PRIVATE",1805,69,5,3,2,3
93,"PRIVATE",1903,18,4,3,3,3
53,"PRIVATE",1898,42,4,1,1,3
68,"PRIVATE",1898,42,4,1,1,3
100,"PRIVATE",1965,70,13,3,3,3
49,"PRIVATE",1918,15,3,1,1,3
66,"PRIVATE",1960,21,5,2,2,3
86,"PRIVATE",1960,21,5,3,3,3
81,"PRIVATE",1970,38,8,2,3,3
96,"PRIVATE",1970,38,8,3,1,3
90,"PRIVATE",1971,62,6,3,1,3
75,"PRIVATE",1955,53,6,2,1,3
91,"PRIVATE",1975,419,27,3,1,3
96,"PRIVATE",1975,419,27,3,2,3
89,"PRIVATE",1975,12,3,2,2,3
94,"PRIVATE",1975,12,3,3,3,3
76,"PRIVATE",1975,180,3,1,2,3
91,"PRIVATE",1975,12,3,3,2,3
93,"PRIVATE",1975,12,3,3,3,3
86,"PRIVATE",1975,12,3,2,2,3
96,"PRIVATE",1975,12,3,3,3,3
76,"PRIVATE",1975,12,3,1,2,3
79,"PRIVATE",1975,108,3,1,2,3
81,"PRIVATE",1975,12,3,1,2,3
84,"PRIVATE",1975,12,3,2,2,3
88,"PRIVATE",1975,12,3,3,3,3
81,"PRIVATE",1975,12,3,2,2,3
88,"PRIVATE",1975,12,3,3,3,3
97,"PRIVATE",2022,53,4,3,3,3
77,"TCHC",1986,132,5,2,2,2
92,"TCHC",1986,132,5,2,2,3
87,"PRIVATE",1939,16,3,3,1,3
69,"PRIVATE",1969,447,33,2,2,1
96,"PRIVATE",2007,188,12,3,2,3
98,"PRIVATE",2007,188,12,3,3,3
72,"PRIVATE",1930,22,4,3,1,3
91,"PRIVATE",1930,22,4,2,3,3
84,"SOCIAL HOUSING",1991,26,3,2,2,3
90,"SOCIAL HOUSING",1991,26,3,2,2,3
81,"TCHC",1976,81,7,2,2,3
78,"TCHC",1980,12,3,3,1,1
92,"SOCIAL HOUSING",1891,16,3,3,3,3
94,"SOCIAL HOUSING",1891,16,3,3,3,3
81,"SOCIAL HOUSING",1950,28,5,3,2,3
85,"SOCIAL HOUSING",1950,28,5,3,1,3
93,"SOCIAL HOUSING",1996,29,5,3,3,3
96,"SOCIAL HOUSING",1994,45,5,3,3,3
96,"SOCIAL HOUSING",1994,45,5,3,3,3
56,"PRIVATE",1965,12,3,1,1,3
90,"PRIVATE",1965,12,3,1,3,3
79,"PRIVATE",1927,25,4,1,3,3
94,"PRIVATE",1927,25,4,3,2,3
90,"PRIVATE",1960,48,6,3,2,3
85,"PRIVATE",1958,66,7,2,2,3
95,"PRIVATE",1958,66,7,3,1,3
89,"SOCIAL HOUSING",1950,20,3,3,2,3
77,"PRIVATE",2009,28,5,1,2,3
77,"SOCIAL HOUSING",1910,30,3,1,2,3
75,"PRIVATE",1930,10,3,3,1,3
37,"TCHC",1967,38,5,0,2,0
96,"TCHC",1967,38,5,3,3,3
85,"TCHC",1991,16,4,2,2,3
91,"PRIVATE",1954,11,3,2,2,3
92,"PRIVATE",1954,11,3,3,2,3
95,"PRIVATE",2018,595,43,3,3,3
97,"PRIVATE",2018,595,43,3,3,3
94,"PRIVATE",1973,225,25,3,3,3
98,"PRIVATE",2020,275,32,3,3,3
99,"PRIVATE",2020,275,32,3,3,3
81,"PRIVATE",1930,15,4,3,1,3
93,"PRIVATE",1930,15,4,3,2,3
75,"PRIVATE",1960,29,3,3,1,3
80,"PRIVATE",1960,23,3,3,2,3
91,"PRIVATE",1960,23,3,3,1,3
89,"PRIVATE",1954,192,14,2,3,3
95,"PRIVATE",1954,192,14,3,2,3
81,"TCHC",1970,190,18,3,1,3
89,"TCHC",1970,66,6,3,2,3
93,"TCHC",1970,66,6,3,2,3
95,"TCHC",1970,66,6,3,2,3
91,"TCHC",1980,22,6,3,2,3
94,"TCHC",1980,22,6,3,3,3
94,"TCHC",1980,22,6,3,2,3
95,"TCHC",1980,22,6,3,3,3
95,"TCHC",1980,22,6,3,2,3
89,"PRIVATE",1965,35,5,3,3,3
87,"PRIVATE",1911,27,4,1,2,3
87,"PRIVATE",1911,27,4,3,2,3
83,"PRIVATE",1984,139,10,2,2,3
87,"PRIVATE",1974,140,10,3,2,3
83,"TCHC",1971,184,12,3,2,3
86,"TCHC",1971,196,12,3,2,3
87,"PRIVATE",1952,30,4,2,2,3
89,"PRIVATE",1934,49,6,3,2,3
94,"PRIVATE",1934,49,6,3,3,3
93,"PRIVATE",1960,39,3,3,3,3
82,"PRIVATE",1954,71,4,2,2,3
94,"PRIVATE",1954,71,4,3,3,3
90,"TCHC",1970,350,17,1,3,3
79,"PRIVATE",1971,11,3,2,2,3
86,"PRIVATE",1971,11,3,3,3,3
75,"PRIVATE",1971,11,3,2,2,3
81,"PRIVATE",1971,11,3,3,2,3
92,"PRIVATE",1971,11,3,3,2,3
76,"PRIVATE",1971,11,3,2,2,3
83,"PRIVATE",1971,11,3,2,2,3
84,"PRIVATE",1971,22,3,3,2,3
65,"PRIVATE",1952,16,3,1,2,3
63,"PRIVATE",1952,16,3,2,1,3
76,"PRIVATE",1950,11,3,2,2,2
80,"PRIVATE",1950,11,3,2,2,3
82,"PRIVATE",1954,48,4,1,2,3
80,"PRIVATE",1950,10,3,2,1,3
82,"PRIVATE",1962,42,4,1,1,3
96,"PRIVATE",1962,42,4,3,2,3
95,"PRIVATE",1962,43,4,3,2,3
93,"PRIVATE",1955,28,4,3,1,3
80,"PRIVATE",1962,58,6,2,1,3
94,"PRIVATE",1962,58,6,3,2,3
97,"PRIVATE",1950,24,4,3,3,3
94,"PRIVATE",1950,11,3,1,1,3
96,"PRIVATE",1950,11,3,3,3,3
75,"PRIVATE",1930,15,3,1,2,3
98,"PRIVATE",1986,336,23,3,3,3
88,"PRIVATE",1973,233,30,2,2,3
96,"PRIVATE",1973,233,30,3,2,3
75,"PRIVATE",1955,57,3,2,2,2
77,"PRIVATE",1955,57,3,2,2,2
100,"PRIVATE",2021,231,34,3,3,3
100,"PRIVATE",2021,231,34,3,3,3
91,"PRIVATE",1928,35,3,3,3,3
90,"PRIVATE",1960,77,11,3,2,3
81,"PRIVATE",1911,15,3,3,1,3
88,"PRIVATE",1940,27,3,3,3,3
90,"PRIVATE",1940,27,3,3,2,3
92,"PRIVATE",1960,212,11,3,3,3
89,"PRIVATE",1965,164,16,2,2,3
92,"PRIVATE",1965,164,16,3,2,3
79,"PRIVATE",1968,174,15,2,3,3
96,"PRIVATE",1970,174,15,3,3,3
92,"PRIVATE",1965,176,16,3,3,3
96,"PRIVATE",1964,172,15,3,2,3
84,"PRIVATE",1969,95,12,3,2,2
95,"PRIVATE",1964,174,15,3,3,3
96,"PRIVATE",1964,174,15,3,3,3
74,"PRIVATE",1969,143,12,2,2,2
76,"PRIVATE",1956,102,5,1,1,3
91,"PRIVATE",1960,132,7,3,2,3
95,"PRIVATE",1960,132,7,3,2,3
98,"PRIVATE",1960,122,7,3,3,3
95,"PRIVATE",1961,129,7,3,2,3
95,"PRIVATE",1961,129,7,3,3,3
86,"PRIVATE",1961,120,7,2,2,3
93,"PRIVATE",1961,120,7,3,2,3
82,"TCHC",1972,217,16,2,2,3
86,"TCHC",1972,217,16,2,2,3
89,"TCHC",1972,231,17,2,2,3
95,"TCHC",1972,231,17,3,3,3
89,"TCHC",1972,421,18,2,2,3
41,"PRIVATE",1926,10,3,1,1,1
86,"PRIVATE",1974,154,8,3,2,3
96,"PRIVATE",1974,154,8,3,3,3
96,"PRIVATE",1974,131,15,2,2,3
97,"PRIVATE",1974,131,15,3,3,3
95,"PRIVATE",1970,118,21,3,2,3
99,"PRIVATE",1970,118,21,3,3,3
94,"PRIVATE",1968,88,11,3,2,3
88,"PRIVATE",1966,121,17,3,3,3
97,"PRIVATE",1966,121,17,3,3,3
98,"PRIVATE",1968,160,12,3,3,3
96,"SOCIAL HOUSING",1994,164,7,3,3,3
98,"SOCIAL HOUSING",1994,164,7,3,3,3
96,"PRIVATE",1971,118,15,3,3,3
88,"PRIVATE",1971,118,15,2,3,3
93,"PRIVATE",1960,60,6,3,1,3
91,"PRIVATE",1962,60,6,3,2,3
98,"PRIVATE",1958,60,6,3,3,3
81,"PRIVATE",1969,24,5,3,3,3
91,"PRIVATE",1962,59,6,3,2,3
98,"PRIVATE",1962,59,6,3,3,3
78,"PRIVATE",1969,312,16,2,2,3
96,"PRIVATE",1970,119,15,3,3,3
99,"PRIVATE",1970,119,15,3,3,3
85,"PRIVATE",1962,103,9,2,2,3
87,"PRIVATE",1962,103,9,3,1,3
78,"PRIVATE",1962,32,3,2,2,3
94,"PRIVATE",1962,32,3,3,2,3
89,"PRIVATE",1970,11,3,3,2,3
66,"PRIVATE",1954,18,3,3,2,3
97,"PRIVATE",1970,34,3,3,3,3
89,"PRIVATE",1970,23,3,3,2,3
97,"PRIVATE",1970,23,3,3,2,3
88,"PRIVATE",1970,36,3,2,2,3
97,"PRIVATE",1970,36,3,3,2,3
98,"SOCIAL HOUSING",2016,20,4,2,2,3
98,"SOCIAL HOUSING",2016,20,4,3,3,3
97,"TCHC",1988,219,11,3,3,3
89,"SOCIAL HOUSING",1985,109,7,3,3,1
94,"SOCIAL HOUSING",1985,109,7,3,2,3
90,"PRIVATE",1959,60,7,3,1,3
91,"PRIVATE",1959,60,7,3,2,3
75,"SOCIAL HOUSING",1975,77,6,1,1,3
93,"SOCIAL HOUSING",1975,77,6,3,2,3
97,"PRIVATE",1960,62,6,3,2,3
96,"PRIVATE",1960,62,6,3,2,3
97,"PRIVATE",1960,86,7,3,2,3
74,"PRIVATE",1964,287,18,1,1,3
84,"PRIVATE",1964,287,18,3,2,3
92,"PRIVATE",1959,70,6,3,2,3
82,"PRIVATE",1962,60,6,1,2,3
98,"PRIVATE",1962,60,6,3,3,3
74,"PRIVATE",1965,380,20,1,3,3
77,"PRIVATE",1965,380,20,3,2,3
88,"PRIVATE",1964,90,6,2,2,3
96,"PRIVATE",1964,90,6,3,3,3
90,"PRIVATE",1966,474,25,2,2,3
82,"PRIVATE",1968,400,20,2,2,3
96,"PRIVATE",1960,57,6,3,2,3
97,"PRIVATE",1960,57,6,3,3,3
91,"PRIVATE",1968,279,20,3,2,3
94,"PRIVATE",1968,279,20,3,3,3
88,"PRIVATE",1960,71,6,2,2,3
93,"PRIVATE",1960,71,6,3,2,3
100,"PRIVATE",1960,64,6,3,3,3
93,"PRIVATE",1960,71,6,3,3,3
95,"PRIVATE",1960,71,6,3,2,3
72,"PRIVATE",1967,332,20,1,2,3
77,"PRIVATE",1967,332,20,3,1,3
95,"PRIVATE",1966,314,20,2,2,3
88,"PRIVATE",1966,308,17,3,2,3
92,"PRIVATE",1966,308,17,3,3,3
86,"PRIVATE",1966,319,17,3,2,3
88,"PRIVATE",1966,319,17,2,2,3
83,"PRIVATE",1971,500,43,2,2,3
92,"PRIVATE",1971,500,43,3,2,3
92,"PRIVATE",1971,496,43,3,3,3
86,"PRIVATE",1960,17,3,3,2,3
89,"PRIVATE",1960,17,3,3,1,3
97,"SOCIAL HOUSING",2021,186,18,3,3,3
97,"SOCIAL HOUSING",1982,247,19,3,3,3
83,"PRIVATE",1938,32,4,3,2,3
89,"PRIVATE",1938,32,4,3,2,3
94,"PRIVATE",1938,32,4,3,2,3
90,"PRIVATE",1956,117,12,3,2,3
89,"PRIVATE",1956,117,12,3,2,3
81,"PRIVATE",1938,32,4,3,2,3
91,"PRIVATE",1938,32,4,3,1,3
93,"PRIVATE",1938,32,4,3,2,3
85,"SOCIAL HOUSING",1986,174,15,1,2,3
93,"PRIVATE",1955,70,4,3,2,3
94,"PRIVATE",1960,59,4,3,3,3
92,"PRIVATE",1964,60,4,3,2,3
77,"TCHC",1972,374,24,2,2,3
81,"TCHC",1972,374,24,1,2,1
90,"PRIVATE",1969,138,11,3,2,3
90,"PRIVATE",1964,18,3,3,3,3
83,"PRIVATE",1950,16,3,3,2,3
91,"PRIVATE",1950,16,3,3,1,3
87,"PRIVATE",1960,19,3,3,2,3
98,"PRIVATE",1960,19,3,3,3,3
81,"PRIVATE",1959,17,3,3,2,3
83,"PRIVATE",1960,15,3,3,2,3
76,"PRIVATE",1960,16,3,2,2,3
87,"PRIVATE",1962,17,3,3,2,3
98,"PRIVATE",1962,17,3,3,3,3
90,"PRIVATE",1954,28,3,3,2,3
93,"PRIVATE",1954,28,3,3,2,3
94,"PRIVATE",1950,17,3,3,3,3
100,"PRIVATE",1950,17,3,3,3,3
98,"SOCIAL HOUSING",1994,61,7,3,2,3
98,"PRIVATE",1978,246,16,3,2,3
100,"PRIVATE",1978,246,16,3,3,3
97,"TCHC",1989,150,8,3,2,3
97,"PRIVATE",1974,200,17,3,2,3
76,"TCHC",1973,16,4,2,2,2
78,"TCHC",1973,16,4,2,2,3
84,"TCHC",1973,16,4,2,2,3
81.1,"TCHC",1973,16,4,3,3,3
84,"TCHC",1973,16,4,2,2,3
94,"PRIVATE",1956,82,7,3,2,3
98,"PRIVATE",1956,82,7,3,3,3
79,"PRIVATE",1961,82,7,2,2,2
95,"SOCIAL HOUSING",1992,111,8,3,3,3
97,"SOCIAL HOUSING",1992,111,8,3,3,3
77,"PRIVATE",1960,45,3,3,2,3
90,"PRIVATE",1960,45,3,3,1,3
90,"PRIVATE",1956,12,3,3,3,3
89,"PRIVATE",1956,12,3,3,2,3
70,"PRIVATE",1950,10,3,2,1,3
76,"PRIVATE",1950,10,3,3,2,3
75,"PRIVATE",1950,11,3,2,1,3
85,"PRIVATE",1950,11,3,3,2,3
76,"PRIVATE",1957,30,4,2,2,3
87,"TCHC",1974,369,19,3,2,3
96,"TCHC",1974,369,19,3,2,3
86,"TCHC",1974,204,19,3,2,3
100,"PRIVATE",2022,179,17,3,3,3
95,"PRIVATE",1964,137,10,3,2,3
85,"PRIVATE",1966,281,22,3,3,3
96,"PRIVATE",1964,84,6,3,2,3
90,"PRIVATE",1964,84,6,3,2,3
94,"PRIVATE",1964,84,6,2,2,3
82,"PRIVATE",1963,66,6,3,2,3
86,"PRIVATE",1963,66,6,2,2,3
94,"PRIVATE",1960,58,6,3,2,3
97,"PRIVATE",1960,58,6,3,2,3
84,"PRIVATE",1963,84,6,3,2,3
88,"PRIVATE",1963,66,6,3,2,3
89,"PRIVATE",1963,66,6,3,2,3
87,"PRIVATE",1969,131,7,3,2,2
95,"PRIVATE",1968,210,15,3,2,3
85,"PRIVATE",1970,210,15,2,2,3
94,"PRIVATE",1968,214,15,3,1,3
97,"PRIVATE",1968,214,15,3,2,3
85,"PRIVATE",1970,216,16,2,2,3
86,"TCHC",1971,378,15,3,2,3
86,"TCHC",1971,378,15,2,1,2
99,"PRIVATE",2015,251,30,3,3,3
97,"PRIVATE",2014,336,30,3,3,3
91,"PRIVATE",1965,10,3,3,3,3
97,"TCHC",1993,178,14,3,3,3
94,"PRIVATE",1970,18,3,3,2,3
93,"PRIVATE",1970,41,3,3,2,3
88,"PRIVATE",1957,46,3,3,2,3
93,"PRIVATE",1970,18,3,3,2,3
62,"PRIVATE",1970,29,3,2,2,3
95,"PRIVATE",1970,29,3,3,3,3
97,"PRIVATE",1968,81,7,3,3,3
98,"PRIVATE",1968,81,7,3,3,3
68,"PRIVATE",1950,11,3,2,2,2
78,"PRIVATE",1958,10,3,3,1,3
98,"PRIVATE",1965,73,7,3,3,3
100,"PRIVATE",1965,73,7,3,3,3
93,"PRIVATE",1965,65,7,3,2,3
96,"PRIVATE",1965,65,7,3,1,3
93,"PRIVATE",1959,69,9,2,2,3
98,"PRIVATE",1959,69,9,3,3,3
94,"PRIVATE",1962,120,18,3,3,3
96,"PRIVATE",1957,70,9,3,3,3
96,"PRIVATE",1957,70,9,3,2,3
91,"PRIVATE",1965,48,6,2,3,3
100,"PRIVATE",1965,48,6,3,3,3
87,"TCHC",1992,54,7,1,1,1
84,"PRIVATE",1960,26,3,3,2,3
87,"PRIVATE",1960,26,3,3,2,3
82,"PRIVATE",1960,27,3,3,2,3
87,"PRIVATE",1960,27,3,3,2,3
94,"PRIVATE",1963,108,10,3,2,3
97,"PRIVATE",1963,108,10,3,2,3
89,"PRIVATE",1965,93,10,3,2,3
93,"PRIVATE",1956,28,4,3,2,3
88,"PRIVATE",1957,39,5,3,2,3
94,"PRIVATE",1957,39,5,3,3,3
88,"PRIVATE",1963,216,11,3,2,3
94,"PRIVATE",1961,64,4,3,2,3
95,"PRIVATE",1961,57,4,3,2,3
96,"PRIVATE",1961,57,4,3,2,3
89,"SOCIAL HOUSING",1985,98,6,2,2,3
90,"SOCIAL HOUSING",1983,174,8,3,3,3
92,"SOCIAL HOUSING",1983,174,8,3,3,3
99,"PRIVATE",1959,54,4,3,2,3
99,"PRIVATE",1959,54,4,3,3,3
84,"PRIVATE",1965,54,4,2,2,3
97,"PRIVATE",1965,54,4,3,2,3
98,"PRIVATE",1959,54,4,3,2,3
99,"PRIVATE",1959,54,4,3,2,3
96,"PRIVATE",1965,61,4,3,2,3
97,"PRIVATE",1965,61,4,3,2,3
100,"PRIVATE",1963,119,4,3,3,3
95,"PRIVATE",1967,32,6,3,2,3
92,"PRIVATE",1965,263,22,3,3,3
99,"TCHC",1977,99,9,3,3,3
87,"PRIVATE",1960,27,4,3,1,3
84,"PRIVATE",1955,12,3,3,1,3
92,"TCHC",1983,51,7,3,2,3
92,"PRIVATE",1920,24,3,3,2,3
99,"PRIVATE",1920,24,3,3,3,3
83,"SOCIAL HOUSING",1929,29,4,2,3,2
89,"SOCIAL HOUSING",1929,29,4,3,2,3
76,"PRIVATE",1955,22,4,3,2,3
95,"PRIVATE",1955,22,4,3,2,3
